Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
4;Quader;2;125;55;55.19553
4;Quader;2;125;55;54.10944
4;Quader;2;125;55;56.242944
4;Quader;2;125;55;57.202636
4;Quader;2;125;55;54.357534
4;Quader;2;125;55;54.10944
4;Quader;2;125;55;56.242944
4;Quader;2;125;55;56.249856
4;Quader;2;125;55;54.872532
4;Quader;2;125;55;54.0155
4;Quader;2;125;55;56.35149
4;Quader;2;125;55;56.511
4;Quader;2;125;55;53.8384
4;Quader;2;125;55;54.5376
4;Quader;2;125;55;56.484131
4;Quader;2;125;55;57.045189
4;Quader;2;125;55;54.10944
4;Quader;2;125;55;54.585024
4;Quader;2;125;55;56.44945
4;Quader;2;125;55;57.045189
4;Quader;2;125;55;54.15641
4;Quader;2;125;55;54.333972
4;Quader;2;125;55;56.35149
4;Quader;2;125;55;56.995735
4;Quader;2;125;55;53.698104
4;Quader;2;125;55;55.13508
4;Quader;2;125;55;56.705252
4;Quader;2;125;55;57.069916
4;Quader;2;125;55;53.37024
4;Quader;2;125;55;54.855108
4;Quader;2;125;55;55.938421
4;Quader;2;125;55;56.747964
4;Quader;2;125;55;53.791128
4;Quader;2;125;55;54.451782
4;Quader;2;125;55;56.011722
4;Quader;2;125;55;57.252248
4;Quader;2;125;55;54.10944
4;Quader;2;125;55;54.77706
4;Quader;2;125;55;56.13108
4;Quader;2;125;55;56.489895
4;Quader;2;125;55;53.4735
4;Quader;2;125;55;54.8948
4;Quader;2;125;55;55.92834
4;Quader;2;125;55;57.6693
4;Quader;2;125;55;53.39025
4;Quader;2;125;55;55.10684
4;Quader;2;125;55;55.237332
4;Quader;2;125;55;56.81522
4;Quader;2;125;55;53.436
4;Quader;2;125;55;54.929076
4;Quader;2;125;55;55.237332
4;Quader;2;125;55;57.37095
4;Quader;2;125;55;53.54235
4;Quader;2;125;55;54.94192
4;Quader;2;125;55;55.79651
4;Quader;2;125;55;56.46564
4;Quader;2;125;55;53.93986
